,Consumer utility,Seller utility,average_num_got_shoes,average_percent_got_shoes,average_shoes_bought,average_shoes_per_person,abnormal_num_got_shoes,abnormal_percent_got_shoes,abnormal_shoes_bought,abnormal_shoes_per_person,special_num_got_shoes,special_percent_got_shoes,special_shoes_bought,special_shoes_per_person,wealthy_num_got_shoes,wealthy_percent_got_shoes,wealthy_shoes_bought,wealthy_shoes_per_person,influencer_num_got_shoes,influencer_percent_got_shoes,influencer_shoes_bought,influencer_shoes_per_person,reseller_num_got_shoes,reseller_percent_got_shoes,reseller_shoes_bought,reseller_shoes_per_person
Lottery,0.41667338719222846,0.14862681744749595,394.0,0.04377777777777778,596.0,0.06622222222222222,33.0,0.033,48.0,0.048,8.0,0.032,16.0,0.064,51.0,0.051,102.0,0.102,27.0,0.054,27.0,0.054,106.0,0.0424,211.0,0.0844
First-come,0.910673817863155,0.0552099533437014,509.0,0.05655555555555555,787.0,0.08744444444444445,47.0,0.047,64.0,0.064,16.0,0.064,32.0,0.128,46.0,0.046,92.0,0.092,25.0,0.05,25.0,0.05,0.0,0.0,0.0,0.0
Invitation,0.45842409689881586,0.36324257425742573,197.0,0.02188888888888889,290.0,0.03222222222222222,18.0,0.018,25.0,0.025,6.0,0.024,12.0,0.048,29.0,0.029,58.0,0.058,500.0,1.0,500.0,1.0,58.0,0.0232,115.0,0.046
Lottery with gaming,0.17468044461211907,0.34760956175298807,133.0,0.014777777777777779,225.0,0.025,15.0,0.015,26.0,0.026,5.0,0.02,10.0,0.04,20.0,0.02,40.0,0.04,6.0,0.012,6.0,0.012,323.0,0.1292,693.0,0.2772
First-come with gaming,0.8259461006941605,0.17002881844380405,200.0,0.022222222222222223,312.0,0.034666666666666665,16.0,0.016,23.0,0.023,13.0,0.052,26.0,0.104,53.0,0.053,106.0,0.106,13.0,0.026,13.0,0.026,52.0,0.0208,520.0,0.208
Invitation with gaming,0.3593313067055144,0.4778523489932886,30.0,0.0033333333333333335,60.0,0.006666666666666667,3.0,0.003,6.0,0.006,0.0,0.0,0.0,0.0,8.0,0.008,16.0,0.016,500.0,1.0,500.0,1.0,204.0,0.0816,418.0,0.1672
Lottery Cap1 with gaming,0.170946884513417,0.3529735682819383,234.0,0.026,236.0,0.026222222222222223,33.0,0.033,33.0,0.033,0.0,0.0,0.0,0.0,47.0,0.047,47.0,0.047,10.0,0.02,10.0,0.02,584.0,0.2336,669.0,0.2676
Lottery Authentication with gaming,0.20816233312219476,0.32189239332096475,172.0,0.01911111111111111,254.0,0.02822222222222222,18.0,0.018,27.0,0.027,2.0,0.008,4.0,0.016,20.0,0.02,40.0,0.04,8.0,0.016,8.0,0.016,319.0,0.1276,667.0,0.2668
Lottery Cap1 and Auth with gaming,0.19331845475932952,0.32992465016146394,282.0,0.03133333333333333,282.0,0.03133333333333333,34.0,0.034,34.0,0.034,0.0,0.0,0.0,0.0,26.0,0.026,26.0,0.026,14.0,0.028,14.0,0.028,573.0,0.2292,640.0,0.256
Combined Distribution with gaming,0.5487291326330963,0.3735042735042735,123.0,0.013666666666666667,187.0,0.020777777777777777,17.0,0.017,24.0,0.024,8.0,0.032,16.0,0.064,32.0,0.032,64.0,0.064,309.0,0.618,309.0,0.618,96.0,0.0384,400.0,0.16
